type_var,desc_m
0,Support and Docking Stations
1,Keypads / Keyboards
2,PC mouses
3,Charging and docking
4,RAM
5,Cables
6,Headsets/Headphones
9,MacBook Pro Shock Protector
11,Smartphone covers
12,Apple connectors (only 3 products)
13,Supports and Holders for iPhone and iPad
17,Miscellaneous electronic items
20,Monitors
23,Hard drives
24,Hard drives
27,Apple TV media player (Only)
31,NAS Servers
32,External optical drives
33,Surveillance cameras
34,Graphic Tablets
36,iPhone (iPhone 6S Plus)
38,MacBook Batteries
41,Hard drives (MacBook SSD)
43,Screen protectors for iPhones
46,Bracelets and armbands for Apple Watch and iPhone
47,Power Strips and Connectors
52,Keyboards
54,USB Power Banks
55,Bluetooth keyboards
58,Connector cables and adapters
59,Backpacks for MacBook Pro
60,Apple Care Extended Warranty
65,Keyboard Pro Messenger (only 1 product)
68,Refurbished MacBooks (6 products)
76,iPhones (iPhone 6S)
78,Apple TV remote
80,iPads
81,iPhones (iPhone 5S & SE)
87,Adhesive strips replacement battery for iPhone (only 3 products)
91,iPhones (iPhone 7)
94,iPhones (iPhone 7 Plus)
97,Refurbished/Used iMac
98,Refurbished/Used iMac
109,Apple iMac (only 1 product)
100,Keypads / Keyboards
112,iPhones (iPhone 6 Refurbished)
118,Refurbished iPhone X (only 1 product)
